,Title,Date
31,NTPC’s renewable energy arm signs land lease agreement with Andhra Pradesh for green hydrogen hub - ETEnergyWorld,"Thu, 15 Feb 2024 08:00:00 GMT"
32,India's Plans to Achieve Cost-Effective Green Hydrogen Production - India Briefing,"Fri, 23 Feb 2024 04:53:57 GMT"
33,"National Green Hydrogen Mission: Bridging Government, Academia, and Industry for Sustainable R&D Breakthroughs - SolarQuarter","Tue, 20 Feb 2024 16:22:33 GMT"
34,NTPC arm NGEL inks pact with AP to develop India's largest green hydrogen production facility - The Economic Times,"Fri, 23 Feb 2024 14:19:25 GMT"
35,NTPC signs land lease for green hydrogen production facility in Visakhapatnam - thecsrjournal,"Wed, 21 Feb 2024 15:54:00 GMT"
36,'India's largest' | Power giant unveils enormous 4GW green hydrogen project - Hydrogen Insight,"Thu, 22 Feb 2024 11:15:00 GMT"
37,NTPC announces India's largest green H2 plant as country eyes transport pilot - ETN News,"Wed, 21 Feb 2024 06:51:00 GMT"
38,NTPC's Renewable Energy Arm To Build India's Largest Green Hydrogen Plant In Andhra Pradesh - Swarajya,"Thu, 22 Feb 2024 11:20:00 GMT"
39,Malaysia's largest green hydrogen project to begin construction this year after closing $400m in finance - Hydrogen Insight,"Wed, 21 Feb 2024 01:08:22 GMT"
40,HONEYWELL COLLABORATES WITH THE GREEN SOLUTIONS CORPORATION FOR VIETNAM'S FIRST GREEN ... - PR Newswire,"Wed, 21 Feb 2024 11:57:54 GMT"
41,Honeywell and TGS tackle climate change with Vietnam's Tra Vinh Green Hydrogen project - Manufacturing Today India,"Wed, 21 Feb 2024 03:24:00 GMT"
42,MoU for mega green hydrogen plant in AP - The Times of India,"Thu, 22 Feb 2024 04:24:50 GMT"
43,Carbon Intensity Regulation Imperative for Global Low Carbon Hydrogen Market - Mercom India,"Fri, 23 Feb 2024 13:32:56 GMT"
44,Kamojang geothermal power plant in Indonesia starts green hydrogen production - ThinkGeoEnergy - Geothermal Energy News,"Wed, 21 Feb 2024 13:38:39 GMT"
45,NTPC signs land lease pact for setting up Green Hydrogen Hub near Vizag - Daijiworld.com,"Wed, 14 Feb 2024 08:00:00 GMT"
46,CIAL announces agreement with BPCL to set up first green hydrogen plant at Cochin airport - The Economic Times,"Thu, 22 Feb 2024 05:18:21 GMT"
47,NTPC Advances Green Energy Goals with New Hydrogen Hub in Andhra Pradesh - SolarQuarter,"Thu, 22 Feb 2024 12:07:28 GMT"
48,Worley Secures FEED Contract for Hydrogen and Methanol Venture in Tasmania - ChemAnalyst,"Wed, 14 Feb 2024 08:00:00 GMT"
49,BPCL to set up first-ever green hydrogen plant in an Indian airport - The Economic Times,"Sat, 24 Feb 2024 15:37:15 GMT"
50,"Green Hydrogen - Hyundai Motor Group Expands Opportunities in Brazil, Focusing on Progress-Driven Mobility, Eco ... - Hydrogen Central","Thu, 08 Feb 2024 02:44:11 GMT"
51,Govt crafts policy to boost green hydrogen for round-the-clock renewable energy - ETEnergyWorld,"Thu, 22 Feb 2024 05:21:02 GMT"
52,NGEL Signs Land Lease Agreement for India's Largest Green Hydrogen Facility in Andhra Pradesh - Asia Pacific - Energetica India ,"Wed, 21 Feb 2024 13:32:00 GMT"
53,Honeywell secures job on green hydrogen project in Vietnam - Renewables Now,"Fri, 23 Feb 2024 06:22:44 GMT"
54,MNRE Minister RK Singh Chairs Key Meeting on Green Hydrogen R&D Scheme - Asia Pacific - Energetica India ,"Thu, 22 Feb 2024 09:02:11 GMT"
55,NTPC's Green Hydrogen Venture Soars - Construction World,"Sat, 24 Feb 2024 15:00:00 GMT"
56,Why green hydrogen is a lot of hot air - New York Post ,"Thu, 22 Feb 2024 11:20:00 GMT"
57,Oil India signs MoU with The Fertilisers and Chemicals Travancore - Business Standard,"Tue, 30 Jan 2024 08:00:00 GMT"
58,Fueling the future: How blue and green hydrogen can help solve the climate crisis - Zurich Insurance,"Thu, 22 Feb 2024 10:01:52 GMT"
59,"Honeywell, TGS Transform Vietnam with Green Hydrogen - Construction World","Mon, 19 Feb 2024 04:04:58 GMT"
60,"Adani Group in talks with West Asian sovereign funds to raise $2.6 billion for airport, green hydrogen business | Mint - Mint","Thu, 22 Feb 2024 12:00:44 GMT"
61,Multibagger PSU oil company plans India's Green Hydrogen Push; Stock up 100 per cent in past 3 months! - Dalal Street Investment Journal,"Wed, 21 Feb 2024 08:00:00 GMT"
62,Renewable Energy #3 - Market intelligence enables green hydrogen project development - Hitachi Energy,"Fri, 23 Feb 2024 02:57:58 GMT"
63,NTPC signs land lease pact to set up Green Hydrogen Hub in Visakhapatnam - The New Indian Express,"Fri, 23 Feb 2024 06:22:19 GMT"
64,NTPC signs land lease pact for Green Hydrogen Hub in AP - Biltrax Media,"Thu, 22 Feb 2024 02:30:00 GMT"
65,NTPC signs land lease pact for Green Hydrogen Hub - DTNEXT,"Wed, 21 Feb 2024 13:29:04 GMT"
66,Evolution of Raw Materials in Green Hydrogen Production: A Comparative Analysis of Current Trends and Technologies - AltEnergyMag,"Thu, 22 Feb 2024 08:03:17 GMT"
67,Taiwan's green hydrogen ambitions: navigating upstream opportunities - DIGITIMES,"Fri, 23 Feb 2024 20:43:41 GMT"
68,"Himachal CM seeks collaboration with UK on green hydrogen, e-vehicles - The Tribune India","Fri, 09 Feb 2024 08:00:00 GMT"
69,"L&T, Matrix chosen for green hydrogen scheme after Jindal India pulls out | Mint - Mint","Mon, 05 Feb 2024 08:00:00 GMT"
70,Govt allocates Rs 455 crore for green hydrogen pilot projects in steel sector - ETEnergyWorld,"Fri, 23 Feb 2024 06:26:03 GMT"
71,Haryana Green Hydrogen Planning Committee (HGHPC) - Saurenergy,"Wed, 21 Feb 2024 06:02:26 GMT"
72,NGEL Signs Land Lease Agreement with APIIC for Integrated Green Hydrogen Hub - StartupNews.fyi,"Fri, 23 Feb 2024 12:57:33 GMT"
73,Green hydrogen fuel getting cheaper at port of Rotterdam - theloadstar.com,"Fri, 23 Feb 2024 08:34:13 GMT"
74,Thrust on Direct R&D Projects Under National Green Hydrogen Mission - Indian Masterminds,"Thu, 22 Feb 2024 06:36:26 GMT"
75,NTPC Green Energy to set up green hydrogen hub near Vizag - domain-b.com: The first online Indian business magazine,"Fri, 23 Feb 2024 14:53:47 GMT"
76,Oil India inks pact for green hydrogen tie-up with Fertilisers and Chemicals Travancore - SME Times,"Mon, 19 Feb 2024 03:26:14 GMT"
77,"Adani group in advance talks to raise $2.6 billion; may trim stake in airport, green hydrogen units - The Economic Times","Thu, 22 Feb 2024 13:15:30 GMT"
78,Honeywell Collaborates With The Green Solutions Corporation For Vietnam's First Green Hydrogen Manufacturing Plant - Hydrogen Central,"Fri, 16 Feb 2024 06:27:50 GMT"
79,CIAL to establish world’s first green hydrogen plant in airport - GKToday,"Sun, 18 Feb 2024 15:08:00 GMT"
80,Adani Group Securing Funds for Airport Expansion and Green Hydrogen Projects: Reports - Indiainfoline,"Thu, 21 Dec 2023 08:00:00 GMT"
81,34 Companies Bid for Green Hydrogen Subsidies in India - India Briefing,"Mon, 19 Feb 2024 05:44:21 GMT"
82,"Adani looking to raise ₹21,577 crore for airport, green expansion - Hindustan Times","Thu, 26 Oct 2023 07:00:00 GMT"
83,"India’s green hydrogen move may worsen pollution if steps are not in place, says study - The Hindu","Wed, 21 Feb 2024 21:03:20 GMT"
84,Trillions of tons of buried hydrogen: Clean energy gold rush begins - New Atlas,"Thu, 15 Feb 2024 11:15:00 GMT"
85,Green Hydrogen - Hitachi Energy,"Fri, 23 Feb 2024 21:56:15 GMT"
86,Climate Impulse Provides Test Bed for Hydrogen in Aviation - Energy Intelligence,"Fri, 16 Feb 2024 05:42:08 GMT"
87,This Startup Is Building India’s ‘First Green Hydrogen Plant’ - The Better India,"Tue, 06 Feb 2024 08:00:00 GMT"
88,"India Energy Week: Modi says nation set to become green hydrogen production, export hub - Moneycontrol","Fri, 09 Feb 2024 05:24:52 GMT"
89,Hydrogen revenue jumps for world's biggest maker of shipping containers - ETEnergyWorld,"Mon, 05 Feb 2024 08:00:00 GMT"
90,India rolls out program to support green hydrogen ship retrofits - Offshore Energy,"Thu, 08 Feb 2024 08:00:00 GMT"
91,India considers Contract for Difference subsidy for green hydrogen power plants - Hydrogen Insight,"Mon, 29 Jan 2024 08:00:00 GMT"
92,"ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala - ETEnergyWorld","Fri, 23 Feb 2024 15:28:44 GMT"
93,"Nasr Petroleum Company, GTS to prepare feasibility study for green hydrogen production - Hydrogen Central","Fri, 23 Feb 2024 10:41:15 GMT"
94,Axpo and SGV to pioneer hydrogen passenger vessel on Swiss Lake Lucerne - Offshore Energy,"Tue, 09 Jan 2024 08:00:00 GMT"
95,Green Hydrogen Enabling Measures Roadmap for India - World Economic Forum,"Thu, 22 Feb 2024 20:57:01 GMT"
96,BMW’s iX5 Signals the Company’s Push for Hydrogen - IEEE Spectrum,"Tue, 05 Sep 2023 07:00:00 GMT"
97,'Green Hydrogen Pilots in India' Conference held in the run-up to G20 Summit Government to come out with pilot for ... - PIB,"Thu, 22 Feb 2024 15:12:00 GMT"
98,Japanese energy companies launch the country's largest green hydrogen project - Hydrogen Insight,"Fri, 23 Feb 2024 09:44:16 GMT"
99,Vietnam aims to produce 10-20 mtpa of hydrogen by 2050 - H2 View,"Fri, 23 Feb 2024 07:56:00 GMT"
